iter	RMSE
0	254459.9667
1	246042.2255
2	238705.7169
3	231382.3172
4	224630.7863
5	218475.6798
6	212693.3424
7	206960.286
8	201594.6674
9	197237.5406
10	192518.9523
11	188745.0152
12	184857.2995
13	181097.1925
14	177849.0275
15	174601.33
16	171738.4693
17	168948.8987
18	166838.6236
19	164709.5221
20	162469.2746
21	160348.9454
22	158128.0949
23	156238.195
24	154550.3651
25	152816.1842
26	151227.9809
27	149360.6107
28	147981.9386
29	146686.272
30	145196.5424
31	143665.9449
32	142414.3132
33	141508.7579
34	140058.0105
35	139232.0164
36	138093.8264
37	137379.2957
38	136499.3676
39	135742.6949
40	134784.5775
41	133938.8939
42	132754.9237
43	132138.0621
44	131097.6128
45	130277.3211
46	129505.3644
47	128803.466
48	128108.2639
49	127382.9488
50	126822.5608
51	126275.7058
52	125718.4486
53	125266.5932
54	124675.5701
55	124280.3297
56	123659.279
57	123490.4693
58	122936.2602
59	122474.7071
60	122255.1137
61	121874.374
62	121582.903
63	121265.0938
64	120980.6559
65	120453.2938
66	120146.7336
67	119489.7496
68	119154.7917
69	118452.4232
70	117967.0034
71	117347.7447
72	117024.9909
73	116771.9596
74	116442.0216
75	115807.1025
76	115345.6803
77	115181.507
78	114767.2953
79	114200.2963
80	113805.7988
81	113610.7985
82	113221.6919
83	112863.2155
84	112376.2224
85	112131.7648
86	111670.2872
87	111471.628
88	111217.6127
89	111044.1759
90	110873.3712
91	110608.8374
92	110142.7669
93	109665.4034
94	109363.5868
95	109191.2174
96	109046.6763
97	108830.9534
98	108673.4874
99	108474.5218
100	108223.0987
101	107900.7053
102	107792.4855
103	107512.0618
104	107074.3289
105	106714.6498
106	106547.9793
107	106135.1003
108	105901.6223
109	105766.4716
110	105677.1107
111	105360.4863
112	104983.2581
113	104834.8701
114	104607.8424
115	104199.0536
116	104066.036
117	103920.8778
118	103644.7403
119	103421.928
120	103123.5108
121	102784.6303
122	102544.0399
123	102256.3758
124	102018.4941
125	101911.6707
126	101650.8314
127	101526.2222
128	101231.07
129	100914.3679
130	100672.5855
131	100580.1798
132	100361.8296
133	100264.7628
134	100188.8953
135	100065.0613
136	99857.99305
137	99764.83208
138	99365.621
139	99121.44876
140	98744.21849
141	98560.27525
142	98268.7892
143	98179.46154
144	97976.98929
145	97824.42568
146	97631.6125
147	97422.06939
148	97325.81521
149	97185.93924
150	97091.71861
151	97017.19563
152	96749.00868
153	96509.26104
154	96417.91677
155	96058.24959
156	95838.59171
157	95512.83628
158	95318.29342
159	94939.18212
160	94708.43153
161	94519.73257
162	94460.15212
163	94375.63648
164	94247.54607
165	93994.89376
166	93812.52662
167	93617.97064
168	93451.781
169	93290.05331
170	93141.26353
171	92970.60788
172	92905.24526
173	92725.97507
174	92574.55952
175	92388.94398
176	92321.10428
177	92111.33704
178	91783.84692
179	91643.26248
180	91582.51748
181	91429.6272
182	91148.4007
183	90992.16482
184	90888.86991
185	90745.15628
186	90588.27769
187	90447.57091
188	90200.51749
189	90084.58796
190	90030.18169
191	89896.47256
192	89727.34983
193	89498.92331
194	89389.20063
195	89111.21462
196	88989.667
197	88874.70851
198	88823.74206
199	88752.93464
200	88665.43542
201	88607.4888
202	88554.49407
203	88508.9619
204	88385.60426
205	88282.82293
206	88052.70436
207	87749.32676
208	87643.68033
209	87581.47583
210	87348.39861
211	87256.9529
212	87164.4019
213	86992.24318
214	86735.15134
215	86664.68459
216	86537.26897
217	86472.09556
218	86228.81614
219	86036.89446
220	85976.38809
221	85891.39847
222	85844.39277
223	85787.79342
