iter	Passed	Remaining
0	65	65551
1	68	34074
2	71	23612
3	73	18386
4	76	15273
5	79	13197
6	82	11689
7	85	10572
8	88	9692
9	90	8991
10	93	8449
11	96	7968
12	99	7551
13	102	7201
14	104	6854
15	107	6582
16	109	6355
17	112	6141
18	114	5908
19	117	5744
20	120	5598
21	122	5459
22	125	5342
23	128	5228
24	131	5128
25	134	5040
26	137	4946
27	140	4865
28	142	4787
29	145	4713
30	149	4665
31	152	4611
32	155	4551
33	158	4505
34	161	4455
35	164	4404
36	167	4354
37	170	4307
38	173	4263
39	177	4251
40	180	4212
41	182	4166
42	185	4134
43	188	4101
44	191	4072
45	194	4039
46	197	4013
47	200	3984
48	204	3963
49	206	3931
50	210	3915
51	213	3886
52	216	3860
53	220	3855
54	223	3832
55	225	3806
56	228	3781
57	230	3742
58	234	3732
59	236	3712
60	240	3701
61	245	3709
62	249	3706
63	252	3698
64	256	3692
65	260	3682
66	264	3678
67	270	3701
68	274	3698
69	277	3688
70	280	3671
71	284	3663
72	287	3650
73	291	3645
74	294	3636
75	299	3643
76	303	3637
77	307	3635
78	311	3630
79	317	3648
80	320	3635
81	323	3621
82	327	3617
83	330	3602
84	333	3588
85	336	3573
86	339	3562
87	343	3564
88	346	3550
89	350	3545
90	355	3550
91	359	3550
92	365	3561
93	369	3556
94	373	3555
95	376	3549
96	379	3531
97	382	3516
98	385	3510
99	388	3497
100	391	3484
101	395	3480
102	398	3468
103	401	3457
104	404	3446
105	407	3435
106	410	3424
107	414	3421
108	417	3410
109	420	3399
110	422	3387
111	426	3377
112	429	3372
113	432	3362
114	435	3353
115	438	3341
116	442	3338
117	445	3328
118	448	3319
119	451	3308
120	453	3296
121	456	3287
122	461	3291
123	465	3285
124	468	3276
125	471	3272
126	474	3264
127	477	3254
128	481	3248
129	484	3244
130	487	3236
131	490	3228
132	493	3219
133	497	3213
134	501	3210
135	504	3202
136	506	3191
137	509	3183
138	513	3181
139	516	3173
140	519	3166
141	523	3162
142	527	3158
143	530	3154
144	533	3146
145	536	3140
146	539	3133
147	543	3127
148	546	3119
149	549	3112
150	552	3103
151	555	3096
152	561	3106
153	565	3108
154	568	3101
155	572	3095
156	574	3087
157	578	3084
158	581	3078
159	586	3081
160	589	3074
161	593	3067
162	595	3059
163	599	3056
164	602	3049
165	605	3043
166	608	3036
167	611	3029
168	615	3025
169	618	3017
170	622	3015
171	625	3009
172	628	3004
173	631	2997
174	634	2991
175	637	2982
176	639	2974
177	643	2970
178	646	2963
179	649	2956
180	651	2949
181	654	2941
182	658	2937
183	660	2930
184	663	2922
185	669	2929
186	672	2924
187	675	2917
188	678	2911
189	681	2904
190	683	2896
191	687	2893
192	690	2887
193	693	2881
194	696	2874
195	699	2868
196	702	2862
197	705	2855
198	707	2849
199	710	2840
200	712	2833
201	716	2828
202	718	2821
203	721	2814
204	724	2808
205	727	2802
206	730	2799
207	733	2792
208	735	2785
209	738	2778
210	741	2772
211	744	2767
212	747	2761
213	750	2756
214	753	2750
215	756	2746
216	759	2740
217	762	2734
218	765	2728
219	768	2723
220	771	2720
221	774	2714
222	777	2707
223	779	2701
224	782	2695
225	788	2699
226	792	2697
227	853	2889
228	857	2887
229	862	2886
230	867	2887
231	885	2930
232	888	2926
233	892	2921
234	896	2917
235	900	2913
236	903	2910
237	907	2906
238	912	2904
239	916	2902
240	921	2902
241	928	2907
242	931	2903
243	935	2899
244	939	2894
245	943	2892
246	947	2888
247	951	2884
248	954	2879
249	959	2877
250	962	2873
251	967	2872
252	972	2871
253	977	2870
254	981	2866
255	986	2865
256	989	2861
257	992	2855
258	996	2850
259	1000	2847
260	1003	2841
261	1007	2837
262	1011	2834
263	1015	2832
264	1019	2827
265	1023	2823
266	1026	2817
267	1030	2815
268	1034	2811
269	1037	2806
270	1041	2802
271	1045	2798
272	1049	2793
273	1051	2786
274	1054	2780
275	1057	2774
276	1062	2774
277	1065	2768
278	1068	2762
279	1072	2757
280	1075	2751
281	1078	2747
282	1081	2740
283	1086	2738
284	1098	2755
285	1105	2758
286	1108	2753
287	1111	2748
288	1116	2746
289	1120	2742
290	1160	2826
291	1163	2821
292	1168	2820
293	1172	2815
294	1176	2811
295	1180	2806
296	1183	2802
297	1187	2797
298	1201	2817
299	1206	2814
300	1209	2809
301	1215	2808
302	1218	2803
303	1222	2799
304	1226	2794
305	1231	2792
306	1242	2805
307	1246	2800
308	1250	2796
309	1254	2791
310	1257	2785
311	1261	2781
312	1264	2776
313	1268	2771
314	1271	2764
315	1275	2759
316	1278	2754
317	1281	2748
318	1285	2745
319	1289	2740
320	1292	2734
321	1295	2728
322	1299	2723
323	1303	2719
324	1306	2713
325	1309	2707
326	1312	2701
327	1316	2698
328	1320	2693
329	1324	2688
330	1327	2682
331	1331	2678
332	1334	2672
333	1337	2666
334	1340	2660
335	1344	2656
336	1347	2651
337	1351	2646
338	1354	2640
339	1358	2637
340	1362	2632
341	1366	2628
342	1369	2623
343	1374	2620
344	1377	2615
345	1380	2609
346	1383	2603
347	1389	2602
348	1392	2596
349	1395	2590
350	1398	2585
351	1402	2582
352	1406	2577
353	1409	2571
354	1412	2565
355	1416	2561
356	1419	2556
357	1422	2551
358	1425	2545
359	1429	2541
360	1432	2535
361	1435	2530
362	1438	2524
